Date,BAB Strategy Return
2010-01-05,-0.022190375506672282
2010-01-06,-0.013505296590963925
2010-01-07,-0.014109412857740589
2010-01-08,-0.00801441097646192
2010-01-11,-0.02225162280907748
2010-01-12,0.03367743900233727
2010-01-13,-0.0057806840342444574
2010-01-14,-0.007039043575938171
2010-01-15,0.014384517547665732
2010-01-19,0.010573491609749333
2010-01-20,-0.0029759054513692953
2010-01-21,0.04636242364459257
2010-01-22,0.03777790400928325
2010-01-25,-0.006676031524709433
2010-01-26,0.0032004451277872956
2010-01-27,0.010673905165047867
2010-01-28,0.00736488113883399
2010-01-29,0.002631739168414767
2010-02-01,-0.008228925511527947
2010-02-02,-0.009419142317556103
2010-02-03,0.0050293869885426985
2010-02-04,0.0222904289673904
2010-02-05,-0.00372935699115919
2010-02-08,0.00936604321930451
2010-02-09,-0.02387080301726282
2010-02-10,-0.003878271442644003
2010-02-11,-0.025653757873751903
2010-02-12,-0.003046388910456758
2010-02-16,-0.010095884236193417
2010-02-17,0.001599387859479791
2010-02-18,-0.0038953952207483136
2010-02-19,-0.0013808730203973738
2010-02-22,-0.00926376322186682
2010-02-23,0.019110179577033832
2010-02-24,-0.008433902643518659
2010-02-25,-0.005040369785790347
2010-02-26,-0.023073439717051576
2010-03-01,-0.0018062805974702703
2010-03-02,0.0014955652455962976
2010-03-03,-0.0027511290465112213
2010-03-04,-3.1616350590753847e-05
2010-03-05,-0.014340702479354114
2010-03-08,0.009754711925785992
2010-03-09,0.0005658990058486172
2010-03-10,-0.005908828380436715
2010-03-11,-0.003282021019325306
2010-03-12,-0.012544609755809214
2010-03-15,0.017695838849354974
2010-03-16,0.00026069122568152725
2010-03-17,-0.009033479810313586
2010-03-18,0.007759524688916183
2010-03-19,0.0068527374956530345
2010-03-22,-0.00542114385890278
2010-03-23,-0.021986170288732364
2010-03-24,-0.012297667224977271
2010-03-25,-0.0010136778649609268
2010-03-26,-0.003140179039625638
2010-03-29,-0.004282510327107395
2010-03-30,0.011168276306366704
2010-03-31,-0.0026420737019939486
2010-04-01,-0.008054980439953601
2010-04-05,-0.00872703197304244
2010-04-06,-0.013278343401093462
2010-04-07,0.0025191769175309884
2010-04-08,-0.003228677149345234
2010-04-09,-0.006533577964484302
2010-04-12,-0.013852727880384422
2010-04-13,0.010783291184571534
2010-04-14,-0.02895399088024823
2010-04-15,-0.014277583702579366
2010-04-16,0.0338446583345328
2010-04-19,0.009421661971518058
2010-04-20,-0.010377474996559721
2010-04-21,0.0014870108588996658
2010-04-22,0.007275715023701279
2010-04-23,-0.013328075431321806
2010-04-26,-0.01174698216017526
2010-04-27,0.030322252530806004
2010-04-28,-0.012634965524350672
2010-04-29,-0.015835137029991286
2010-04-30,0.027929457868249002
2010-05-03,-0.015190241275968982
2010-05-04,0.025329076375885662
2010-05-05,0.009472014992404649
2010-05-06,0.016032875434639642
2010-05-07,0.0064587105057463306
2010-05-10,-0.028243454579444143
2010-05-11,0.005910539347615559
2010-05-12,-0.01154787066302465
2010-05-13,0.015998651772495837
2010-05-14,0.019524718529703
2010-05-17,0.015471460922024022
2010-05-18,0.012544491877301297
2010-05-19,0.004311161263593784
2010-05-20,0.014516544072390003
2010-05-21,-0.03780326609027044
2010-05-24,0.018117324496231064
2010-05-25,-0.01078968945996428
2010-05-26,-0.015902097708220507
2010-05-27,-0.02788264927980163
2010-05-28,0.018098151850239497
2010-06-01,0.02458679712501412
2010-06-02,-0.010057804635145495
2010-06-03,0.0054887025962261915
2010-06-04,0.02438331224577689
2010-06-07,0.027071725525301404
2010-06-08,-0.005013378527319978
2010-06-09,0.0041555256589380085
2010-06-10,-0.030865183002959116
2010-06-11,-0.004271733385311893
2010-06-14,0.004752556736790851
2010-06-15,-0.019727717383326494
2010-06-16,-0.013800408875230022
2010-06-17,-0.0017308684974022825
2010-06-18,-0.017675804279711067
2010-06-21,0.0001240486499579827
2010-06-22,0.016601660811750203
2010-06-23,-0.005730977191803507
2010-06-24,0.009895911629011545
2010-06-25,-0.046759621593944964
2010-06-28,0.024308639487258234
2010-06-29,0.0379735315481188
2010-06-30,0.0025366333613181333
2010-07-01,0.01029292371574081
2010-07-02,0.009800416769143358
2010-07-06,-0.010486747023517595
2010-07-07,-0.029288200230274897
2010-07-08,0.006952290835314271
2010-07-09,-0.02367076213195633
2010-07-12,0.0022511843025512976
2010-07-13,-0.027458283257718562
2010-07-14,0.002852212025415394
2010-07-15,0.0003132778822919624
2010-07-16,0.025236687792706027
2010-07-19,-0.007928662519319804
2010-07-20,-0.012690573475620987
2010-07-21,0.0033916688823930983
2010-07-22,-0.011808858037647788
2010-07-23,-0.005527616870454647
2010-07-26,-0.006525978699085555
2010-07-27,0.004356596359332257
2010-07-28,-0.0007195811398382952
2010-07-29,-7.761659918512987e-05
2010-07-30,-0.0013533989968883553
2010-08-02,-0.013182393327979325
2010-08-03,0.0074884161397990034
2010-08-04,-0.006586375070558981
2010-08-05,-0.00492131675990265
2010-08-06,0.01856257255190859
2010-08-09,0.011768046055823322
2010-08-10,0.01289765103468595
2010-08-11,0.0207972421119198
2010-08-12,0.010016135897754278
2010-08-13,-0.0031711302391925953
2010-08-16,-0.006741420847851731
2010-08-17,0.005807580556821512
2010-08-18,-0.005300224512407044
2010-08-19,0.0029528714149160695
2010-08-20,0.001071558993515224
2010-08-23,0.02345282539594153
2010-08-24,0.018718861762944832
2010-08-25,0.004434834168518864
2010-08-26,0.00966119376568823
2010-08-27,-0.02177594915739452
2010-08-30,0.010698461452245364
2010-08-31,-0.011555577305013979
