Date,Cumulative Market Returns,Cumulative BAB Strategy Returns
2010-01-05,0.0026470962456217606,-0.022190375506672244
2010-01-06,0.0033530155058538735,-0.035395984494953625
2010-01-07,0.007588463747080887,-0.04900598079394869
2010-01-08,0.01094147925293476,-0.056627637700023326
2010-01-11,0.012353317773398986,-0.07761920367443076
2010-01-12,0.00291186645833319,-0.046555780669249036
2010-01-13,0.01138269562062133,-0.052067340445477006
2010-01-14,0.014118048603813493,-0.058739879743136325
2010-01-15,0.002735352983192163,-0.045200307026383446
2010-01-19,0.015265116911566068,-0.035104740483735686
2010-01-20,0.004941300181293018,-0.03797617754653049
2010-01-21,-0.014382818816525145,0.00662557846624745
2010-01-22,-0.03635403405996496,0.0446537829428344
2010-01-25,-0.03141273387867172,0.03767964135550117
2010-01-26,-0.0354716686447577,0.04100067810788155
2010-01-27,-0.030883260773414523,0.05211222062275578
2010-01-28,-0.0420012535014902,0.05986090207235706
2010-01-29,-0.05241332696933376,0.06265017952141227
2010-02-01,-0.03767761584285878,0.05390571034931879
2010-02-02,-0.026030217329692018,0.04397882247425344
2010-02-03,-0.030883260773414745,0.04922939598031961
2010-02-04,-0.06079589939405139,0.07261716930191686
2010-02-05,-0.058854655088495966,0.06861699696274348
2010-02-08,-0.06564901015794011,0.07862570994118001
2010-02-09,-0.053913354907202726,0.052878048089818774
2010-02-10,-0.05576634247518775,0.04879470122332541
2010-02-11,-0.04588374211260127,0.021889175898868185
2010-02-12,-0.04667785079023801,0.018776104045694186
2010-02-16,-0.03167743677121737,0.008490658436648646
2010-02-17,-0.02708902889987419,0.01010362615215099
2010-02-18,-0.021353552720778324,0.006168873314377432
2010-02-19,-0.019324118997818385,0.004779481863254054
2010-02-22,-0.01914760552267747,-0.00452855734691715
2010-02-23,-0.03105977424855577,0.014495080685992257
2010-02-24,-0.022147728718581172,0.00593892794315809
2010-02-25,-0.023471310501474996,0.0008686237644031092
2010-02-26,-0.022853647978813396,-0.022224858090713173
2010-03-01,-0.012706277403515598,-0.023990994358232598
2010-03-02,-0.009970924420323435,-0.02253130921000568
2010-03-03,-0.009088491684950295,-0.025220451717293257
2010-03-04,-0.006088435809212589,-0.02525127068924049
2010-03-05,0.008117869532171307,-0.03922985220841457
2010-03-08,0.008294315687146447,-0.02985781618981287
2010-03-09,0.009970857100156438,-0.029308813692462965
2010-03-10,0.014471008233928995,-0.03504446132275674
2010-03-11,0.018706389154990122,-0.03821146568340983
2010-03-12,0.018794645892560524,-0.05027672751402312
2010-03-15,0.019059348785106067,-0.033470577532629275
2010-03-16,0.02717728563744415,-0.033218611792829034
2010-03-17,0.033265654126490185,-0.04195201194418541
2010-03-18,0.0327362483413991,-0.0345180149276999
2010-03-19,0.023294797026333303,-0.02790182032721744
2010-03-22,0.02876550299271763,-0.03317170440420114
2010-03-23,0.036001074429848234,-0.05442855595113527
2010-03-24,0.030971450190818484,-0.06605687890748946
2010-03-25,0.0292949760979746,-0.06700359637647346
2010-03-26,0.02867731357531289,-0.0699333721271781
2010-03-29,0.0352068984320455,-0.07391639206594136
2010-03-30,0.03591281769227783,-0.06357363444973674
2010-03-31,0.03238328871128293,-0.06604774192401086
2010-04-01,0.03944234667327251,-0.07357070909466346
2010-04-05,0.04791317583556065,-0.08165568713715743
2010-04-06,0.05038382592620727,-0.09384977828379149
2010-04-07,0.04438364685456575,-0.09156702556142837
2010-04-08,0.04800136525296517,-0.09450006234770991
2010-04-09,0.05488397705997983,-0.10041621678719681
2010-04-12,0.05656045115282371,-0.1128779061416505
2010-04-13,0.05735462715062645,-0.10331181028730907
2010-04-14,0.06935498529390949,-0.12927451195467654
2010-04-15,0.07023735070911674,-0.14170636799221292
2010-04-16,0.05320743564697028,-0.11265771326620411
2010-04-19,0.057178113675485864,-0.1042974741875643
2010-04-20,0.06661956499055166,-0.11359260475353827
2010-04-21,0.06467838800516224,-0.11227450733139788
2010-04-22,0.06785489003587508,-0.10581566962746636
2010-04-23,0.07482569126029426,-0.1177334258321775
2010-04-26,0.07076675649420827,-0.12809739553944577
2010-04-27,0.0454425257449147,-0.10165934458472536
2010-04-28,0.05338388180194564,-0.11300984779501999
2010-04-29,0.06644311883557696,-0.12705545839943866
2010-04-30,0.048354324883082,-0.10267459060348783
2010-05-03,0.06194296770180441,-0.11630518007527857
2010-05-04,0.03697162926246089,-0.09392200648843063
2010-05-05,0.03079500403584423,-0.08533962214960122
2010-05-06,-0.003441272243424054,-0.07067498624652524
2010-05-07,-0.01826524010746966,-0.06467274501694287
2010-05-10,0.024971338439343738,-0.09108961785997294
2010-05-11,0.022059471981010548,-0.08571746728287799
2010-05-12,0.03635396673979896,-0.09627548372015793
2010-05-13,0.023471243181308887,-0.08181710988592938
2010-05-14,0.004941300181293462,-0.06388984739766301
2010-05-17,0.00547070596638477,-0.049406855752965884
2010-05-18,-0.008206126269742042,-0.037482147776340735
2010-05-19,-0.013853345711267395,-0.03333257809631662
2010-05-20,-0.051089745186439384,-0.01929990786290814
2010-05-21,-0.037236399475171544,-0.05637357440071933
2010-05-24,-0.04958971724857053,-0.03927758824491845
2010-05-25,-0.048619095095792875,-0.0496434847249837
2010-05-26,-0.05435457127488874,-0.06475614688853093
2010-05-27,-0.022677134503671592,-0.09083322323592835
2010-05-28,-0.034942195539500065,-0.07437898485285943
2010-06-01,-0.05117800192401001,-0.051620928738786986
2010-06-02,-0.026471366377212147,-0.06115954015759295
2010-06-03,-0.023118350871358384,-0.056006524088213716
2010-06-04,-0.05744288388819718,-0.03298883640708039
